domain,category,region,name
sport_cz,sports,cz,sport.cz

irozhlas,sports,cz,irozhlas.cz
irozhlas,technology,cz,irozhlas.cz
irozhlas,business,cz,irozhlas.cz
irozhlas,science,cz,irozhlas.cz
irozhlas,entertainment,cz,irozhlas.cz

novinky,technology,cz,novinky.cz
novinky,business,cz,novinky.cz
novinky,science,cz,novinky.cz
novinky,entertainment,cz,novinky.cz
novinky,health,cz,novinky.cz
novinky,politics,cz,novinky.cz

theguardian,food,gb,theguardian.com
theguardian,environment,gb,theguardian.com
theguardian,health,gb,theguardian.com
theguardian,technology,gb,theguardian.com
theguardian,business,gb,theguardian.com
theguardian,science,gb,theguardian.com
theguardian,entertainment,gb,theguardian.com

bbc,technology,gb,bbc.com
bbc,science,gb,bbc.com
bbc,business,gb,bbc.com
bbc,entertainment,gb,bbc.com
bbc,health,gb,bbc.com

zeit,sports,de,zeit.de
zeit,technology,de,zeit.de
zeit,business,de,zeit.de
zeit,science,de,zeit.de
zeit,entertainment,de,zeit.de
zeit,health,de,zeit.de
zeit,politics,de,zeit.de

spiegel,politics,de,spiegel.de
spiegel,entertainment,de,spiegel.de
spiegel,science,de,spiegel.de
spiegel,business,de,spiegel.de
spiegel,technology,de,spiegel.de
spiegel,sports,de,spiegel.de
